ID,level,trial,time_played,N_attempt,done,expectancy,SoC,crashed,N_drift,N_prior_crashs,SoC_last_trial,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
BI21RG,30,169,10.994901418685911,3,False,4,1,1,1,121,2.0,0,0,0,38
BI21RG,33,170,20.896616458892822,1,True,3,6,0,4,122,1.0,1,1,1,39
BI21RG,76,171,9.5854172706604,3,False,5,3,1,2,122,6.0,0,0,0,39
BI21RG,43,172,7.787852764129639,3,False,5,1,1,1,123,3.0,1,1,0,39
BI21RG,26,173,5.967411279678345,1,False,5,1,1,1,124,1.0,2,1,0,39
BI21RG,55,174,10.733241319656372,3,False,6,2,1,2,125,1.0,3,1,0,39
BI21RG,13,175,7.200960636138916,3,False,4,1,1,1,126,2.0,4,1,0,39
BI21RG,38,176,23.28758668899536,3,True,5,4,0,4,127,1.0,1,1,1,40
BI21RG,63,177,20.868714570999146,3,True,5,3,0,4,127,4.0,2,0,0,40
BI21RG,26,178,5.779924392700195,2,False,5,1,1,1,127,3.0,0,0,0,40
BI21RG,26,179,6.699425935745239,3,False,2,2,1,1,128,1.0,1,1,0,40
SA24RG,77,0,22.786996841430664,1,True,6,5,0,4,0,2.0,1,1,1,1
SA24RG,24,1,15.06185531616211,1,False,6,3,1,3,0,5.0,0,0,0,1
SA24RG,21,2,16.01063108444214,1,False,6,2,1,2,1,3.0,1,1,0,1
SA24RG,47,3,8.334163188934326,1,False,4,2,1,1,2,2.0,2,1,0,1
SA24RG,72,4,12.58015775680542,1,False,7,3,1,2,3,2.0,3,1,0,1
SA24RG,4,5,11.452503442764282,1,False,5,5,1,2,4,3.0,4,1,0,1
SA24RG,45,6,20.0424702167511,1,True,4,7,0,4,5,5.0,1,1,1,2
SA24RG,8,7,17.17169713973999,1,False,5,4,1,1,5,7.0,0,0,0,2
SA24RG,24,8,9.184408187866213,2,False,5,6,1,1,6,4.0,1,1,0,2
SA24RG,64,9,20.16594696044922,1,False,6,6,1,4,7,6.0,2,1,0,2
SA24RG,43,10,16.924320459365845,1,False,5,3,1,2,8,6.0,3,1,0,2
SA24RG,7,11,10.436160564422607,1,False,5,3,1,2,9,3.0,4,1,0,2
SA24RG,2,12,8.292283773422241,1,False,6,6,1,1,10,3.0,5,1,0,2
SA24RG,28,13,17.78133201599121,1,False,5,6,1,4,11,6.0,6,1,0,2
SA24RG,76,14,10.419986724853516,1,False,5,2,1,1,12,6.0,7,1,0,2
SA24RG,54,15,13.562896013259888,1,False,4,4,1,2,13,2.0,8,1,0,2
SA24RG,30,16,8.591771602630615,1,False,5,4,1,1,14,4.0,9,1,0,2
SA24RG,5,17,14.129020690917969,1,False,4,5,1,2,15,4.0,10,1,0,2
SA24RG,15,18,12.854088306427002,1,False,3,4,1,1,16,5.0,11,1,0,2
SA24RG,76,19,14.096395492553713,2,False,3,4,1,2,17,4.0,12,1,0,2
SA24RG,79,20,19.98556542396545,1,False,5,4,1,3,18,4.0,13,1,0,2
SA24RG,20,21,9.248814105987549,1,False,3,2,1,1,19,4.0,14,1,0,2
SA24RG,39,22,16.759880304336548,1,False,3,3,1,4,20,2.0,15,1,0,2
SA24RG,41,23,9.90146780014038,1,False,4,3,1,1,21,3.0,16,1,0,2
SA24RG,1,24,11.403729915618896,1,False,3,2,1,2,22,3.0,17,1,0,2
SA24RG,72,25,10.640496730804443,2,False,3,2,1,2,23,2.0,18,1,0,2
